antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
time_of_day_Evening Rush,congestion_level_Severe,0.1660135551447936,0.24995686999383857,0.06067775723967961,0.36549881235154397,1.4622475163837405,1.0,0.019181528619137488,1.182098859083178,0.37904842995607174,0.17078246392896784,0.15404706440915772,0.3041258605240268
"time_of_day_Evening Rush, weather_bucket_Clear, weekday_type_Weekday",congestion_level_High,0.0322365988909427,0.25003080714725817,0.01173136167590881,0.363914373088685,1.455478135837693,1.0,0.0036712188355239993,1.179038106071378,0.3233647343879104,0.0433633961920379,0.15185099204973362,0.20541701897411085
"weather_bucket_LowVisibility, weekday_type_Weekend",congestion_level_Medium,0.027578558225508316,0.25000616142945165,0.010030807147258163,0.36371760500446826,1.4548345645757392,1.0,0.0031359976675402,1.1787122266298364,0.32150321771672136,0.03749078850405306,0.15161650366587687,0.20191992237605116
"time_of_day_Evening Rush, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_High,0.02338878619839803,0.25003080714725817,0.008305606900800986,0.35511064278187565,1.4202675535608285,1.0,0.002457689809420875,1.1629424248647908,0.30299397287486657,0.03132843729664405,0.1401122027891753,0.19416448846831585
weekday_type_Weekend,congestion_level_High,0.2857917436845348,0.25003080714725817,0.10077634011090573,0.3526215936529838,1.4103125837821406,1.0,0.029319599761439177,1.1584711283229512,0.4073564423503613,0.23164513936097894,0.13679333429082538,0.37783864305616166
"time_of_day_Evening Rush, weather_bucket_Clear",congestion_level_Severe,0.04692544670363524,0.24995686999383857,0.01629081947011707,0.34716386554621853,1.3888950743973394,1.0,0.004561481689013713,1.1488995330102425,0.29378940565023287,0.0580588493631972,0.12960187443031634,0.2061691936683962
"weather_bucket_Clear, weekday_type_Weekend",congestion_level_Medium,0.10131854590264941,0.25000616142945165,0.03492298213185459,0.34468499148625636,1.3787059867463378,1.0,0.009592721389119513,1.1444783483160819,0.30565023210603515,0.11037544788907927,0.1262394771632497,0.24218673864533638
"time_of_day_Evening Rush, weekday_type_Weekday",congestion_level_High,0.11874306839186691,0.25003080714725817,0.040690080098582875,0.3426733084267331,1.3705243459255492,1.0,0.011000654865422312,1.1409382921264637,0.30678028641645266,0.1240234375,0.12352840911648685,0.2527067872838446
"weather_bucket_LowVisibility, weekday_type_Weekday",congestion_level_Severe,0.07226124460874923,0.24995686999383857,0.024645717806531114,0.3410641200545702,1.36449188239146,1.0,0.0065835232822690146,1.1382642117898887,0.28793284275961,0.0828225940036442,0.12146934811599863,0.2198320008673561
weather_bucket_LowVisibility,congestion_level_Low,0.09983980283425754,0.25000616142945165,0.033887861983980284,0.33942236484818566,1.3576559989861132,1.0,0.008927296119514268,1.1353606278211104,0.29265501139972716,0.10725429017160688,0.11922258400036584,0.23748523605185307
"weather_bucket_Precipitation, weekday_type_Weekend",congestion_level_Medium,0.049168207024029575,0.25000616142945165,0.016685150955021565,0.3393483709273183,1.357360030596997,1.0,0.004392796252575328,1.135233465818091,0.27688997061870696,0.05906473564822892,0.11912392462869899,0.20304366495892728
weekday_type_Weekday,congestion_level_Severe,0.7142082563154651,0.24995686999383857,0.24120764017252003,0.3377273197832914,1.351142378249561,1.0,0.06268637990014916,1.1325291717615962,0.9093528920050189,0.3336401445421695,0.11702053692396573,0.6513621808934205
"time_of_day_Evening Rush, weather_bucket_Precipitation",congestion_level_Severe,0.031719038817005545,0.24995686999383857,0.010696241528034504,0.3372183372183372,1.3491060966903996,1.0,0.00276784986612273,1.1316594470315706,0.2672452136509126,0.0394724874943156,0.11634193252830917,0.19000534293375942
"weather_bucket_Precipitation, weekday_type_Weekend",congestion_level_High,0.049168207024029575,0.25003080714725817,0.016463339494762783,0.33483709273182954,1.3391833452532265,1.0,0.00416977300656118,1.1274970156301583,0.26637335748409857,0.05822873082287308,0.11307969232973984,0.20034116834718632
weekday_type_Weekend,congestion_level_Medium,0.2857917436845348,0.25000616142945165,0.09454097350585336,0.33080372542255954,1.3231822909128896,1.0,0.023091276699053087,1.1207382154721752,0.3419818119345061,0.21425379803395886,0.10773097035984203,0.3544791497775258
"time_of_day_Evening Rush, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_High,0.056487985212569314,0.25003080714725817,0.018484288354898338,0.3272251308900524,1.3087392494690857,1.0,0.004360551818077249,1.114740201049601,0.25002951701799764,0.0641738684007872,0.10292999296299295,0.2005765871305856
"time_of_day_Midday, weather_bucket_Precipitation",congestion_level_Severe,0.04640788662969809,0.24995686999383857,0.015107825015403574,0.32554434413170474,1.3024020669635101,1.0,0.003507854930415331,1.1120718218910253,0.2434877003293169,0.053715387311601824,0.1007775034713607,0.1929930358008159
"weather_bucket_Clear, weekday_type_Weekend",congestion_level_Low,0.10131854590264941,0.25000616142945165,0.032138016019716574,0.31719776210167844,1.2687597789112384,1.0,0.006807755276981499,1.0984056538523421,0.2357105890808852,0.10068720562118753,0.08958953689578397,0.22287332900036605
